Ad Name,Category,Month,Year,Attribution setting,Result Type,Marketing Channel,Results,Conversions,Total Sales,Reach,Impressions,Cost per result,Advertising Budget,Frequency,Clicks (all),CPC (all),CTR (all),"CPM (cost per 1,000 impressions)",Page engagement,Follows or likes,Post comments,Post engagements,Post reactions,Post saves,Post shares,Photo views,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video plays,ThruPlays,Link clicks,CTR (link click-through rate),Unique CTR (link click-through rate),Unique link clicks,Outbound CTR (click-through rate),CPC (cost per link click),Cost per unique link click,Cost per outbound click
Urban and Ease,Casual wear,3,2023,7-day click or 1-day view,Messaging conversations started,Consideration,99,11,398500,71440,205155,404.04,40000,2.87171053,26937,1.48494636,13.13007238,194.9745315,25659,9,5,25650,522,19,18,23327,,,,,,,,1759,0.8574005,2.21024636,1579,0.03558285,22.74019329,25.33248892,547.9452055
Dazzling Delights IG,Party wear,2,2023,7-day click or 1-day view,Messaging conversations started,Consideration,56,17,687500,59278,132972,714.29,40000,2.24319309,2336,17.12328767,1.75676082,300.8152092,1186,,1,1186,744,111,31,,,,,,,,,299,0.22485937,0.48078545,285,,133.7792642,140.3508772,
Page Likes,Promotions,5,2023,7-day click or 1-day view,Follows or likes,Awareness,4264,19,758900,236415,698214,9.38,40000,2.95334052,15982,2.50281567,2.28898303,57.289026,11830,4264,12,7566,1525,88,15,,,,,,,,,5926,0.84873692,2.35095066,5558,,6.74991563,7.19683339,
30th - Red Collectons Messaging,Promotions,,2023,7-day click or 1-day view,Messaging conversations started,Consideration,236,,0,95786,229900,169.49,40000,2.40014198,22545,1.77422932,9.80643758,173.9886907,20977,20,6,20957,786,50,39,18800,,,,,,,,1276,0.55502392,1.21207692,1161,0.10221836,31.34796238,34.45305771,170.212766
Charming Look Collection,Promotions,1,2023,7-day click or 1-day view,Website purchases,Conversion,107,107,4289500,62128,195563,363,38841,3.14774337,7839,4.95482459,4.00842695,198.6105245,7060,5,1,7055,173,15,15,,3961,2377,1623,1283,1233,14380,1224,3393,1.73499077,4.11569663,2557,1.666982,11.44735337,15.19001564,11.9143773
Urban Ease (IG),Casual wear,2,2023,7-day click or 1-day view,Messaging conversations started,Consideration,56,19,765800,41616,101326,639.2,35795,2.4347847,2038,17.56385182,2.01132977,353.2669799,798,,3,798,504,31,9,,,,,,,,,251,0.2477153,0.5694925,237,,142.6100797,151.0343038,
Enchante IG,Party wear,4,2023,7-day click or 1-day view,Messaging conversations started,Consideration,152,24,978500,86144,185441,230.26,35000,2.1526862,3033,11.53972964,1.63556064,188.7392756,1978,,6,1978,1233,165,55,,,,,,,,,519,0.27987338,0.54908061,473,,67.43737958,73.99577167,
Page Likes,Promotions,4,2023,7-day click or 1-day view,Follows or likes,Awareness,2510,17,698700,139297,371486,13.94,35000,2.66686289,7383,4.74062034,1.98742348,94.21620196,5171,2510,4,2661,644,10,7,,,,,,,,,1996,0.53730154,1.41209071,1967,,17.53507014,17.79359431,
White Collection IG,White,4,2023,7-day click or 1-day view,Messaging conversations started,Consideration,172,25,1054700,67792,153350,203.49,35000,2.26206632,2708,12.92466396,1.76589501,228.2359961,1530,,4,1530,872,97,32,,,,,,,,,525,0.34235409,0.71542365,485,,66.66664762,72.16492784,
Sleek and Suit,Work wear,6,2023,7-day click or 1-day view,Website purchases,Conversion,19,19,774500,79232,195135,1661.33,31565,2.46283067,5380,5.86715056,2.75706562,161.761191,16807,,2,16807,207,7,9,,15511,8211,5380,4045,3841,84078,3895,2828,1.44925308,3.27771607,2597,1.44822815,11.16169378,12.1545129,11.16959306
Page Likes,Promotions,4,2023,7-day click or 1-day view,Follows or likes,Awareness,2757,19,775200,165568,344328,10.88,30000,2.07967723,9478,3.16522473,2.75260798,87.12622848,7031,2757,2,4274,766,34,9,,,,,,,,,3463,1.0057271,2.08373599,3450,0.00029042,8.66300895,8.69565217,30000
Mellow,Casual wear,,2023,7-day click or 1-day view,Website purchases,Conversion,36,36,0,43680,157627,833.33,30000,3.60867674,3605,8.32177531,2.28704473,190.3227239,14595,,,14595,102,3,5,,14341,7961,4867,3866,3648,89464,3510,1765,1.11973203,3.40659341,1488,1.11909762,16.99716714,20.16129032,17.00680272
Elegance and Ease,Work wear,1,2023,7-day click or 1-day view,Messaging conversations started,Consideration,144,27,1095400,54992,150258,208.33,30000,2.73236107,13840,2.16763006,9.21082405,199.6565907,12636,8,9,12628,500,35,14,10749,,,,,,,,1321,0.87915452,2.08393948,1146,0.07853159,22.71006813,26.17801047,254.2372881
Mellow IG,Casual wear,5,2023,7-day click or 1-day view,Messaging conversations started,Consideration,69,17,698700,39080,89892,434.78,30000,2.30020471,1108,27.07581227,1.23259022,333.7338139,648,,1,648,401,24,14,,,,,,,,,208,0.23138878,0.49897646,195,,144.2307692,153.8461539,
Dazzling Delights,Party wear,2,2023,7-day click or 1-day view,Landing page views,Consideration,2324,21,837400,90108,222925,12.91,30000,2.47397567,9607,3.12272301,4.30952114,134.5744084,65049,1,,65048,88,8,5,,32573,21378,17253,13044,12992,99529,17956,8766,3.93226421,7.98597239,7196,3.92957273,3.42231348,4.16898277,3.42465753
AL - Red Collection - Conversions,Promotions,1,2023,7-day click or 1-day view,Website purchases,Conversion,20,20,815200,69661,172170,1500,30000,2.47154075,4032,7.44047619,2.34187141,174.2463844,1682,3,4,1714,128,13,6,,,,,,,,,1528,0.88749492,1.93077906,1345,0.84974153,19.63350785,22.30483271,20.50580998
Boss Lady (IG),Work wear,3,2023,7-day click or 1-day view,Messaging conversations started,Consideration,86,19,697500,35608,100161,348.84,30000,2.81287913,2436,12.31527094,2.43208434,299.5177764,1324,,4,1324,134,12,2,,,,,,,,,1172,1.17011611,2.33093687,830,0.14376853,25.59726962,36.14457831,208.3333333
Enchante FB Retar,Party wear,5,2023,7-day click or 1-day view,Messaging conversations started,Consideration,295,48,1938500,65008,158767,101.69,30000,2.44226864,9087,3.30141961,5.72348158,188.9561433,33581,2,27,33579,585,38,28,,34423,21620,17085,14518,13906,104596,13616,5109,3.21792312,6.09771105,3964,0.09006909,5.8719906,7.56811302,209.7902098
Charming Look,Promotions,1,2023,7-day click or 1-day view,Landing page views,Consideration,3229,21,837500,132706,337856,9.29,30000,2.54589845,11504,2.6077886,3.40500095,88.79522637,53032,3,,53029,166,15,6,,20918,15377,11505,9631,9068,94114,15841,8603,2.54635111,5.54910856,7364,2.53095994,3.48715564,4.0738729,3.5083616
30th - Red Collectons Messaging,Promotions,,2023,7-day click or 1-day view,Messaging conversations started,Consideration,42,,0,50070,106774,714.29,30000,2.13249451,1469,20.42205582,1.3758031,280.9672767,621,,,621,372,34,15,,,,,,,,,200,0.18731152,0.39344917,197,,150,152.284264,
Vibrant Outlook IG,Casual wear,6,2023,7-day click or 1-day view,Messaging conversations started,Consideration,53,19,705820,45191,92404,517.86,27447,2.04474342,1275,21.52679216,1.3798104,297.0289165,764,,,764,552,30,14,,,,,,,,,168,0.18181031,0.34741431,157,0.0010822,163.3729762,174.8194905,27446.66
Vibrant Outlook,Casual wear,6,2023,7-day click or 1-day view,Website purchases,Conversion,11,11,405200,64310,134735,2460.73,27068,2.0950863,5331,5.07746952,3.95665566,200.8979849,18391,,3,18391,290,8,7,,23536,11838,8173,6346,6068,80047,6021,2661,1.97498794,3.68838439,2372,1.97498794,10.17211199,11.4114629,10.17211199
Enchante IG,Party wear,5,2023,7-day click or 1-day view,Messaging conversations started,Consideration,68,27,1074500,40016,89069,391.08,26594,2.22583467,2266,11.73592674,2.54409503,298.5731287,609,,1,609,366,42,31,,,,,,,,,169,0.18974054,0.39734106,159,,157.3586391,167.2554088,
Dazzling Delights Retar,Party wear,3,2023,7-day click or 1-day view,Messaging conversations started,Consideration,137,25,885200,59504,134731,192.96,26435,2.26423434,25713,1.02809085,19.08469469,196.2079996,23835,5,9,23830,659,50,30,20947,,,,,,,,2135,1.58463902,3.09054853,1839,0.10984851,12.38187354,14.37482327,178.6168919
Nouveau,Work wear,6,2023,7-day click or 1-day view,Messaging conversations started,Consideration,126,29,1052000,46808,127455,207.27,26117,2.72293198,17575,1.48601024,13.7891805,204.9086344,16589,,9,16589,612,45,26,14174,,,,,,,,1723,1.35184967,3.16185267,1480,0.15691813,15.15764945,17.64637162,130.58315
Women's Day Video,Promotions,3,2023,7-day click or 1-day view,ThruPlay,Awareness,53224,14,441230,62576,77683,0.47,25000,1.24141844,390,64.1025641,0.50204034,321.820733,61192,,,61192,5,,,,54514,4551,4067,1436,1370,76437,53224,314,0.40420684,0.49220148,308,0.00128728,79.61783439,81.16883117,25000
Charming Look,Promotions,,2023,7-day click or 1-day view,Website purchases,Conversion,2,2,0,34824,78187,10789.56,21579,2.24520446,1548,13.94,1.97986878,275.9937074,857,1,,856,84,10,3,,,,,,,,,759,0.97074961,1.85217092,645,0.93621702,28.43098814,33.456,29.47967213
Sleek and Suit IG,Work wear,6,2023,7-day click or 1-day view,Messaging conversations started,Consideration,109,31,998500,48305,88417,184.45,20105,1.83039023,1257,15.99445505,1.4216723,227.3887375,861,,3,861,490,56,16,,,,,,,,,296,0.33477725,0.55894835,270,0.15042356,67.92239865,74.46307407,151.1656391
Page Likes,Promotions,3,2023,7-day click or 1-day view,Follows or likes,Awareness,1906,12,358960,88000,186920,10.49,20000,2.12409091,6270,3.18979266,3.3543762,106.9976461,4680,1906,23,2774,1255,13,13,,,,,,,,,1470,0.7864327,1.54431818,1359,,13.60544218,14.71670346,
White Collection FB Retar,Promotions,5,2023,7-day click or 1-day view,Messaging conversations started,Consideration,163,69,2758900,73072,176436,122.7,20000,2.41455003,19840,1.00806452,11.24487066,113.355551,18475,,8,18475,468,60,19,15701,,,,,,,,2219,1.25767984,2.68228596,1960,0.06687978,9.01306895,10.20408163,169.4915254
Vibrant Outlook,Casual wear,6,2023,7-day click or 1-day view,ThruPlay,Awareness,43001,19,745800,33416,65868,0.47,20000,1.97115154,465,43.01075269,0.70595737,303.6375782,50146,,,50146,5,,,,45795,43618,30104,26907,26795,63977,43001,438,0.6649663,1.28381614,429,0.66041173,45.66210046,46.62004662,45.97701149
Blossome,Work wear,5,2023,7-day click or 1-day view,Landing page views,Consideration,2644,16,658900,93153,203445,7.56,20000,2.18398763,8445,2.36826525,4.15099904,98.30666765,28711,,5,28711,291,14,14,,14132,10408,7785,6503,6063,48213,9082,6591,3.23969623,6.15546467,5734,3.23723857,3.0344409,3.48796652,3.03674461
Enchante Collection,Party wear,5,2023,7-day click or 1-day view,ThruPlay,Awareness,55869,18,735400,107340,189954,0.36,20000,1.76964785,2745,7.2859745,1.44508671,105.2886488,107770,3,2,107767,358,23,29,,57792,32230,22121,17601,16910,173031,55869,1637,0.86178759,1.4784796,1587,0.8607347,12.21747098,12.60239445,12.2324159
Page Likes,Promotions,3,2023,7-day click or 1-day view,Follows or likes,Awareness,1672,11,374000,84515,170246,11.96,20000,2.01438798,4446,4.49842555,2.6115151,117.4770626,3613,1672,2,1941,416,15,,,,,,,,,,1508,0.88577705,1.71330533,1448,,13.26259947,13.8121547,
30th - Spend over LKR 8000,Promotions,,2023,7-day click or 1-day view,Website purchases,Conversion,14,14,0,31660,85039,1428.57,20000,2.68600758,2340,8.54700855,2.75167864,235.1862087,640,,1,640,81,2,4,281,,,,,,,,271,0.31867731,0.6348705,201,0.30926986,73.80073801,99.50248756,76.04562738
20% Off on Party Wear,Promotions,5,2023,7-day click or 1-day view,Reach,Awareness,508439,21,852400,508439,538071,39.34,20000,1.05828034,2124,9.41619586,0.39474344,37.16981588,1193,,,1193,63,9,3,,,,,,,,,1118,0.20777927,0.21713519,1104,0.20740757,17.88908766,18.11594203,17.92114695
Page Likes,Promotions,5,2023,7-day click or 1-day view,Follows or likes,Awareness,2798,22,874200,172064,369039,7.15,20000,2.14477752,9248,2.16262976,2.5059682,54.1948141,7139,2798,21,4341,880,33,9,,,,,,,,,3398,0.92076989,1.86907197,3216,,5.88581519,6.21890547,
Ease and Elegance,Work wear,1,2023,7-day click or 1-day view,Landing page views,Consideration,2536,29,1152500,70704,140585,7.89,20000,1.98835992,9436,2.11954218,6.71195362,142.2626881,23880,2,5,23878,137,8,8,,12693,7831,6111,4312,3759,29992,5879,8492,6.04047373,10.78863996,7628,6.03905111,2.3551578,2.62191924,2.3557126
Page Likes,Promotions,5,2023,7-day click or 1-day view,Follows or likes,Awareness,1110,24,978500,102240,215881,18.02,20000,2.11151213,3848,5.1975052,1.78246349,92.64363237,2612,1110,13,1502,368,13,2,,,,,,,,,1106,0.51231929,1.03677621,1060,,18.08318264,18.86792453,
20% OFF on Party Wear,Promotions,5,2023,7-day click or 1-day view,Website purchases,Conversion,19,19,774200,30161,70139,1052.63,20000,2.32548656,2262,8.84173298,3.22502459,285.1480631,939,,2,939,69,9,6,,,,,,,72,,848,1.20902779,2.46344617,743,1.1634041,23.58490566,26.9179004,24.50980392
Extended upto 50% OFF,Promotions,5,2023,7-day click or 1-day view,Website purchases,Conversion,26,26,1035200,39096,82102,769.23,20000,2.10001023,2243,8.91662951,2.73196755,243.5994251,960,,2,968,48,1,4,,,,,,,,,905,1.1022874,2.03857172,797,1.06818348,22.09944751,25.09410289,22.8050171
Page Likes,Promotions,4,2023,7-day click or 1-day view,Follows or likes,Awareness,1530,18,756200,119488,259601,13.07,20000,2.17261148,5445,3.67309458,2.09744955,77.0413057,3445,1530,3,1915,364,11,3,,,,,,,,,1534,0.59090681,1.26205142,1508,,13.03780965,13.26259947,
2nd - Spin & Win,Promotions,,2023,7-day click or 1-day view,Landing page views,Consideration,6182,,0,84089,175548,3.24,20000,2.08764523,13384,1.49432158,7.6241256,113.9289539,40622,8,26,40614,160,31,30,,32261,24838,15917,13410,13163,109759,13010,9825,5.59675986,8.48624671,7136,5.59562057,2.03562341,2.80269058,2.03603787
Enchante Link Click,Party wear,5,2023,7-day click or 1-day view,Link clicks,Unknown,556,37,1475200,130625,299855,35.97,20000,2.29554067,1698,11.77856302,0.5662737,66.69890447,1292,,,1391,685,43,8,,,,,,,,,556,0.18542295,0.41952153,548,,35.97122302,36.49635036,
Page Likes Lookalike Audience,Promotions,2,2023,7-day click or 1-day view,Follows or likes,Awareness,1779,12,478900,84272,169870,11.24,20000,2.01573476,4927,4.05926527,2.90045329,117.7370931,3598,1779,5,1819,601,23,4,,,,,,,,,1186,0.69818096,1.34564268,1134,,16.86340641,17.6366843,
White by Panthera,White,4,2023,7-day click or 1-day view,Landing page views,Consideration,1577,19,775900,69120,156295,12.68,20000,2.26121238,5778,3.46140533,3.69685531,127.9631466,18630,,,18630,101,8,1,,7829,6092,4452,2756,2401,38654,5850,4256,2.72305576,5.70601852,3944,2.71921687,4.69924812,5.07099391,4.70588235
Urban and Ease,Casual wear,2,2023,7-day click or 1-day view,Landing page views,Consideration,1946,24,958900,69312,149756,10.28,20000,2.16060711,7931,2.52175009,5.29594808,133.5505756,29097,1,1,29096,85,7,3,,9894,7050,5332,3944,3608,42758,7461,7045,4.70431903,9.31440443,6456,4.70164801,2.83889283,3.09789343,2.84050561
Urban and Ease IG,Casual wear,3,2023,7-day click or 1-day view,Messaging conversations started,Consideration,31,7,258900,37711,68349,645.16,20000,1.81244199,1360,14.70588235,1.98978771,292.6158393,561,,,561,406,35,9,,,,,,,,,111,0.16240179,0.28108509,106,,180.1801802,188.6792453,
White Collection,Promotions,4,2023,7-day click or 1-day view,Website purchases,Conversion,25,25,1058700,42456,110286,799.97,19999,2.59765404,2784,7.18364943,2.52434579,181.340152,10521,,,10521,92,11,8,,12709,6646,4609,3645,3497,71189,3483,1105,1.00194041,2.21641229,941,0.99922021,18.09889593,21.25321998,18.14816697
30th - Spend over LKR 8000,Promotions,,2023,7-day click or 1-day view,Landing page views,Consideration,550,,0,105562,206761,36.35,19994,1.95866884,2527,7.9122596,1.22218407,96.70237617,1566,2,,1564,77,6,2,323,,,,,,,,1156,0.55909964,1.00035998,1056,0.54023728,17.29608997,18.93397727,17.89998209
Revamp Collection,Work wear,4,2023,7-day click or 1-day view,Landing page views,Consideration,1450,7,298600,53249,148930,13.79,19991,2.79686003,6435,3.10662315,4.32082186,134.2316525,55412,,2,55412,40,,,,24954,20399,17011,12169,11858,90415,19153,5853,3.93003424,7.27900993,3876,3.92197677,3.41553391,5.1576677,3.42255093
Mellow,Casual wear,5,2023,7-day click or 1-day view,Landing page views,Consideration,1881,16,638900,93840,206101,10.61,19956,2.19630222,8481,2.35304681,4.11497276,96.82723519,23157,,,23157,127,6,4,,13414,7873,5852,4653,4057,44890,4287,7352,3.56718308,7.13981245,6700,3.56524228,2.71438928,2.97853582,2.7158669
Nouveau,Work wear,6,2023,7-day click or 1-day view,Website purchases,Conversion,12,12,405820,28536,76775,1644.54,19734,2.69046117,2030,9.72140887,2.64408987,257.0427874,7840,,1,7840,107,9,4,,8075,4171,2813,2160,2047,43468,2272,873,1.1370889,2.60022428,742,1.1370889,22.60533792,26.59630728,22.60533792
Page Likes,Promotions,2,2023,7-day click or 1-day view,Follows or likes,Awareness,1572,21,836500,85047,187663,12.54,19710,2.20657989,3931,5.01407784,2.09471233,105.0305068,3052,1572,3,1480,446,14,5,,,,,,,,,1012,0.53926453,1.1570073,984,,19.47662055,20.03083333,
Sleek and Suit,Work wear,6,2023,7-day click or 1-day view,Landing page views,Consideration,1406,11,387500,75200,173354,12.63,17753,2.30523936,5176,3.4298068,2.98579785,102.4070976,34531,,1,34531,87,5,3,,25835,13958,10769,8851,7842,64941,9850,4199,2.4222112,4.65425532,3500,2.41990378,4.2278352,5.07219429,4.23186651
Page Likes,Promotions,3,2023,7-day click or 1-day view,Follows or likes,Awareness,1273,13,485000,79552,162581,13.66,17393,2.04370726,3938,4.41683342,2.42217725,106.9835344,3141,1273,4,1868,422,8,5,,,,,,,,,1429,0.87894649,1.71460177,1364,,12.17179146,12.75182551,
Page Likes,Promotions,6,2023,7-day click or 1-day view,Follows or likes,Awareness,669,18,705820,89921,165812,25.15,16824,1.84397416,2929,5.74397747,1.7664584,101.4649724,1717,669,2,1048,299,3,1,,,,,,,,,743,0.44809785,0.8040391,723,,22.64348587,23.26986169,
25% OFF,Promotions,6,2023,7-day click or 1-day view,Website purchases,Conversion,19,19,702500,20447,53473,880.69,16733,2.61520027,2447,6.83817736,4.57614123,312.9246536,1118,,1,1118,34,10,2,217,,,,,,,,854,1.59706768,2.83660195,580,1.55592542,19.59370023,28.85003448,20.11180288
White Collection Carrousel,White,4,2023,7-day click or 1-day view,Website purchases,Conversion,16,16,668500,31544,74392,937.5,15000,2.35835658,1778,8.43644544,2.39004194,201.6345844,1194,,,1194,98,21,9,,,,,,,,,1066,1.43294978,2.50760842,791,1.38590171,14.07129456,18.96333755,14.54898157
Casual Fusion Link Click ,Casual wear,3,2023,7-day click or 1-day view,Link clicks,Unknown,5023,57,1958000,120993,222812,2.99,15000,1.84152802,6591,2.27583068,2.9580992,67.32132919,5187,2,2,5185,147,7,6,,,,,,,,,5023,2.25436691,3.74071227,4526,0.03949518,2.98626319,3.31418471,170.4545455
Avurudu Asiriya,Festive,4,2023,7-day click or 1-day view,Link clicks,Unknown,513,61,2457600,94339,194961,29.24,15000,2.06660024,2268,6.61375661,1.16330958,76.93846462,1239,,1,1239,621,83,21,,,,,,,,,513,0.26312955,0.52894349,499,,29.23976608,30.06012024,
Extended Upto 50% OFF,Promotions,5,2023,7-day click or 1-day view,Landing page views,Consideration,1077,17,678800,91280,157240,13.93,15000,1.72261174,3781,3.96720444,2.40460443,95.39557365,2167,,1,2167,69,7,5,,,,,,,,,2085,1.32599847,2.08041192,1899,1.32472653,7.1942446,7.89889415,7.20115218
Reward Post,Promotions,4,2023,7-day click or 1-day view,Landing page views,Consideration,494,21,867400,78417,134416,30.36,15000,1.71411811,2276,6.59050967,1.6932508,111.5938579,1229,,,1229,46,6,2,171,,,,,,,,1004,0.74693489,1.17449023,921,0.74395905,14.94023904,16.28664495,15
Dazzling Delight Link Click,Party wear,2,2023,7-day click or 1-day view,Link clicks,Unknown,4172,47,1875600,186598,385243,3.6,15000,2.06456125,6378,2.35183443,1.65557843,38.93646348,4366,,,4366,177,16,1,,,,,,,,,4172,1.08295284,2.08576726,3892,0.03841731,3.59539789,3.85405961,101.3513514
Avurudu Asiriya Landing,Festive,4,2023,7-day click or 1-day view,Landing page views,Consideration,1010,24,982600,65248,111503,14.85,15000,1.70891062,3789,3.95882819,3.39811485,134.5255285,25721,1,1,25720,78,4,7,,5652,2789,1885,1150,940,49871,6943,3129,2.80620252,4.45377636,2906,2.80171834,4.79386385,5.16173434,4.80153649
Casual Fusion,Casual wear,3,2023,7-day click or 1-day view,Website purchases,Conversion,30,30,1196000,25024,65676,500,15000,2.62452046,1983,7.56429652,3.01936781,228.3939339,7212,1,,7211,58,3,3,,7705,3861,2468,1953,1870,35367,1877,734,1.11760765,2.46163683,616,1.1145624,20.4359673,24.35064935,20.49180328
Valentines Day Video,Promotions,2,2023,7-day click or 1-day view,ThruPlay,Awareness,14601,38,1538000,124960,203003,1.03,15000,1.62454385,3398,4.41436139,1.67386689,73.89053364,96629,2,1,96627,178,20,9,,2018,1154,818,629,286,179847,14601,359,0.17684468,0.27928937,349,0.00147781,41.78272981,42.97994269,5000
Casual Fusion,Casual wear,3,2023,7-day click or 1-day view,Landing page views,Consideration,2017,13,447500,57826,118834,7.44,15000,2.05502715,7404,2.02593193,6.23054008,126.2265008,16363,2,1,16361,115,9,3,,5457,3584,2802,1284,996,18569,4346,6382,5.37051686,9.80181925,5668,5.36462629,2.35036039,2.64643613,2.35294118
Revamp collection Link click,Work wear,4,2023,7-day click or 1-day view,Link clicks,Unknown,412,48,1936900,78882,155126,36.41,15000,1.96655764,1179,12.72264631,0.76002733,96.69558939,892,,,950,442,28,10,,,,,,,,,412,0.26559055,0.5045511,398,,36.40776699,37.68844221,
Party Wear Video,Promotions,5,2023,7-day click or 1-day view,Website purchases,Conversion,25,25,1047800,30376,63314,600,15000,2.0843429,1903,7.88229112,3.00565436,236.9144265,17070,,,17070,118,15,9,,4262,1820,781,278,183,53169,3017,471,0.7439113,1.43205162,435,0.74233187,31.84713376,34.48275862,31.91489362
Charming Look,Promotions,1,2023,7-day click or 1-day view,ThruPlay,Awareness,48925,31,1247800,37960,77168,0.31,15000,2.03287671,867,17.30101499,1.1235227,194.3808314,58932,,,58932,11,,,,51501,46712,17420,16679,16543,74974,48925,821,1.0639125,2.03108535,771,1.05872901,18.27037759,19.45522698,18.35982864
Upto 50% OFF,Promotions,5,2023,7-day click or 1-day view,Landing page views,Consideration,1473,18,736900,66240,119677,10.08,14853,1.806718,4593,3.23375572,3.83783016,124.1060521,2589,,3,2589,102,13,4,,,,,,,,,2467,2.06138189,3.35597826,2223,2.06138189,6.02052696,6.68134953,6.02052696
Upto 50% OFF,Promotions,5,2023,7-day click or 1-day view,Website purchases,Conversion,40,40,1615470,29320,56110,370.95,14838,1.91371078,2215,6.69892099,3.94760292,264.4468009,1144,,1,1144,53,7,8,,,,,,,,,1075,1.91587952,3.07639836,902,1.84993762,13.80289302,16.45023282,14.29490366
Casual Fusion,Casual wear,3,2023,7-day click or 1-day view,ThruPlay,Awareness,25246,39,1285000,56896,95006,0.55,14000,1.66981862,964,14.52282158,1.01467276,147.3591142,46343,2,,46341,70,4,3,,29388,22631,20749,6262,5619,87333,25246,541,0.56943772,0.93152418,530,0.56838515,25.8780037,26.41509434,25.92592593
Revamp Collection,Work wear,4,2023,7-day click or 1-day view,Website purchases,Conversion,14,14,578500,23728,66302,982.75,13758,2.79425152,1908,7.21092767,2.87774124,207.5118398,8364,,,8364,67,4,3,,11137,5611,3980,3184,3002,43956,3007,931,1.40418087,3.20296696,760,1.40418087,14.77814178,18.10322368,14.77814178
Page Likes,Promotions,1,2023,7-day click or 1-day view,Follows or likes,Awareness,988,12,486500,44616,97453,13.48,13321,2.18426125,2016,6.60756448,2.06868952,136.6899942,1711,988,2,723,200,1,2,,,,,,,,,518,0.53153828,1.13412229,506,,25.71592664,26.32579051,
Charming Look Link Click,Promotions,1,2023,7-day click or 1-day view,Link clicks,Unknown,4437,49,1978500,154816,309064,2.93,13000,1.99633113,6034,2.15445807,1.95234644,42.06248544,4620,3,5,4617,170,3,2,,,,,,,,,4437,1.43562498,2.45581852,3802,0.0084125,2.9299076,3.41925302,500
Nouveau IG,Work wear,6,2023,7-day click or 1-day view,Messaging conversations started,Consideration,56,21,804700,21579,38733,231.03,12938,1.79493952,803,16.11180573,2.07316758,334.0247334,495,,2,495,283,42,8,,,,,,,,,160,0.41308445,0.67194958,145,,80.861125,89.22606897,
Urban and Ease,Casual wear,3,2023,7-day click or 1-day view,Landing page views,Consideration,1129,12,415050,60560,109974,11.31,12768,1.81595112,5133,2.48750438,4.66746686,116.1034426,23817,,1,23817,63,2,,,8187,5839,4348,3342,3052,35485,6191,4577,4.16189281,7.02774108,4256,4.15825559,2.78967883,3.00008459,2.79211896
Dazzling Delights,Party wear,2,2023,1-day click,Website purchases,Conversion,5,5,205800,29595,59722,2518.66,12593,2.01797601,2323,5.42114507,3.88968889,210.8656776,6964,,,6964,99,8,5,,12992,6895,4910,4040,3900,28239,3893,997,1.66940156,2.92279101,865,1.66772714,12.63121364,14.55875145,12.64389558
25% OFF,Promotions,6,2023,7-day click or 1-day view,Landing page views,Consideration,566,39,1205000,38774,72556,21.66,12260,1.87125393,3015,4.06619569,4.15541099,168.9671426,1551,,,1551,61,7,8,367,,,,,,,,1108,1.52709631,2.38561923,925,1.51882684,11.06460289,13.2536,11.12484574
Work Wear Offers,Promotions,3,2023,7-day click or 1-day view,Link clicks,Unknown,2586,47,1458300,113024,178638,4.64,12000,1.58053157,5596,2.14438885,3.13259217,67.17495718,2755,,2,2755,148,4,6,9,,,,,,,,2586,1.44762033,2.08274349,2354,1.04121184,4.64037123,5.09770603,6.4516129
White by Panthera,White,4,2023,7-day click or 1-day view,ThruPlay,Awareness,20761,8,367500,27048,37833,0.48,10000,1.39873558,443,22.57336343,1.17093543,264.3195094,26293,1,,26292,20,2,1,,22337,20988,13317,10775,10628,36020,20761,365,0.96476621,1.31617865,356,0.96476621,27.39726027,28.08988764,27.39726027
Printed Maxi Skirt Landing,Promotions,4,2023,7-day click or 1-day view,Landing page views,Consideration,875,16,687400,48576,77787,11.43,10000,1.60134634,3592,2.78396437,4.61773818,128.5561855,11459,,,11459,38,3,1,,7347,4648,3097,1650,1481,20651,1518,2949,3.79112191,5.89385705,2863,3.78855079,3.39097999,3.49283968,3.3932813
New Lungis,Promotions,4,2023,7-day click or 1-day view,Messaging conversations started,Consideration,67,13,557100,31960,41605,149.25,10000,1.30178348,6936,1.44175317,16.67107319,240.3557265,6436,,8,6436,240,45,16,5647,,,,,,,,480,1.15370749,1.36733417,437,0.0672996,20.83333333,22.88329519,357.1428571
Upto 50% OFF,Promotions,5,2023,7-day click or 1-day view,Reach,Awareness,306753,18,728400,306753,324454,32.6,10000,1.05770441,1207,8.28500414,0.37200959,30.82101007,667,1,,666,34,4,4,10,,,,,,,,614,0.189241,0.19820507,608,0.18122754,16.28664495,16.44736842,17.00680272
Avurudu Offer,Promotions,4,2023,7-day click or 1-day view,Landing page views,Consideration,783,22,893200,104704,119808,12.77,10000,1.14425428,3809,2.62536099,3.17925347,83.46688034,1848,3,5,1845,81,8,6,,,,,,,,,1745,1.45649706,1.45553178,1524,1.44648104,5.73065903,6.56167979,5.77034045
Casual Floral Printed Dress Landing,Promotions,4,2023,7-day click or 1-day view,Landing page views,Consideration,733,24,978600,50335,78046,13.64,10000,1.55053144,3859,2.59134491,4.9445199,128.1295646,11306,1,1,11305,28,1,1,,4952,3165,2162,1399,1311,18025,2740,3404,4.36153038,6.56402106,3304,4.35768649,2.93772033,3.02663438,2.94031167
