Ad Name,Category,Month,Year,Attribution setting,Result Type,Marketing Channel,Results,Conversions,Total Sales,Reach,Impressions,Cost per result,Advertising Budget,Frequency,Clicks (all),CPC (all),CTR (all),"CPM (cost per 1,000 impressions)",Page engagement,Follows or likes,Post comments,Post engagements,Post reactions,Post saves,Post shares,Photo views,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video plays,ThruPlays,Link clicks,CTR (link click-through rate),Unique CTR (link click-through rate),Unique link clicks,Outbound CTR (click-through rate),CPC (cost per link click),Cost per unique link click,Cost per outbound click
25% Off,Promotions,12,2022,7-day click or 1-day view,Reach,Awareness,128126,44,1798520,128126,131859,39.02,5000,1.02913538,294,17.00680272,0.22296544,37.91929258,168,1,,167,7,,,,,,,,,,,160,0.12134174,0.12487707,160,0.11906658,31.25,31.25,31.84713376
Fashionista,Casual wear,12,2022,7-day click or 1-day view,Post engagements,Awareness,27819,41,1665100,78000,140762,0.18,5000,1.80464103,28495,0.17546938,20.24338955,35.52095026,27826,7,2,27819,733,16,26,25384,,,,,,,,1658,1.17787471,2.04487179,1595,0.01918131,3.01568154,3.13479624,185.1851852
Fashionista Link click,Casual wear,12,2022,7-day click or 1-day view,Link clicks,Unknown,895,51,2058920,68864,126490,5.59,5000,1.83680878,1202,4.15973378,0.95027275,39.52881651,919,2,,917,22,,,,,,,,,,,895,0.70756582,1.23431691,850,0.00316231,5.58659218,5.88235294,1250
New Traffic ad set,Casual wear,,2022,7-day click or 1-day view,Landing page views,Consideration,310,,0,21448,43116,16.13,5000,2.01025737,1296,3.85802469,3.0058447,115.9662306,555,,,555,12,3,,,,,,,,,,540,1.25243529,2.27527042,488,1.21300677,9.25925926,10.24590164,9.56022945
Black Friday Giveaway New Audience,Promotions,11,2022,7-day click or 1-day view,Reach,Awareness,128993,25,980500,128993,132362,38.76,5000,1.0261177,252,19.84126984,0.19038697,37.77519228,121,1,,120,27,1,3,,,,,,,,,89,0.06723984,0.06822076,88,0.06572883,56.17977528,56.81818182,57.47126437
Eternal Elegance,Workwear,11,2022,7-day click or 1-day view,Post engagements,Awareness,24797,26,847500,66369,121440,0.2,5000,1.82976992,26531,0.18845878,21.84700264,41.17259552,24831,34,1,24797,682,20,20,756,,,,,,,,23318,19.20125165,27.4224412,18200,0.06999341,0.21442662,0.27472527,58.82352941
Symbol of splendour,Party wear,11,2022,7-day click or 1-day view,Post engagements,Awareness,24562,29,912050,63615,94807,0.2,5000,1.49032461,25842,0.19348348,27.25748099,52.73872182,24595,33,6,24562,762,55,16,22017,,,,,,,,1706,1.79944519,2.58429616,1644,0.0411362,2.93083236,3.04136253,128.2051282
Eternal Elegance Link Click,Workwear,11,2022,7-day click or 1-day view,Link clicks,Unknown,2236,31,1063200,64929,100992,2.24,5000,1.55542208,3130,1.59744409,3.09925539,49.50887199,2353,2,1,2351,79,7,1,27,,,,,,,,2236,2.21403676,3.08490813,2003,0.04455798,2.23613596,2.49625562,111.1111111
Free Delivery,Promotions,12,2022,7-day click or 1-day view,Reach,Awareness,147520,47,1895120,147520,151062,33.89,5000,1.0240103,310,16.12903226,0.20521375,33.09899247,170,,,170,8,,,,,,,,,,,162,0.10724074,0.10981562,162,0.10260688,30.86419753,30.86419753,32.25806452
Deepavali Sale,Promotions,10,2022,7-day click or 1-day view,Website purchases,Conversion,7,7,385500,10176,17869,714.29,5000,1.7559945,795,6.28930818,4.44904583,279.8142034,406,,,406,9,2,1,,,,,,,,,394,2.20493592,3.41981132,348,2.20493592,12.69035533,14.36781609,12.69035533
